NASA Surface meteorology and Solar Energy: Daily Averaged Data
Dates (month/day/year): 07/01/1983 through 06/30/2005
Location: Latitude 34.593   Longitude 51.051, Qom, Navaran
Elevation (meters): Average for one degree lat/lon region = 1370   Site = na
Climate zone: 4 (reference Briggs et al, http://www.energycodes.gov)
Parameter(s):
swv_dwn     Average Insolation Incident On A Horizontal Surface (kWh/m^2/day) 

YEAR MO DY swv_dwn
1984 10 31    3.31
1984 11 01    2.53
1984 11 02    3.40
1984 11 03    2.77
1984 11 04    2.40
1984 11 05    3.52
1984 11 06    3.40
1984 11 07    3.68
1984 11 08    3.70
1984 11 09    1.18
1984 11 10    3.63
1984 11 11    1.27
1984 11 12    3.45
1984 11 13    3.28
1984 11 14    1.76
1984 11 15    1.10
1984 11 16    3.00
1984 11 17    3.04
1984 11 18    1.97
1984 11 19    2.33
1984 11 20    3.41
1984 11 21    3.54
1984 11 22    3.49
1984 11 23    3.25
1984 11 24    0.84
1984 11 25    2.83
1984 11 26    3.42
1984 11 27    3.57
1984 11 28    3.30
1984 11 29    1.62
1984 11 30    1.70
1984 12 01    1.84
1984 12 02    1.39
1984 12 03    0.92
1984 12 04    1.36
1984 12 05    0.92
1984 12 06    2.16
1984 12 07    3.00
1984 12 08    3.60
1984 12 09    3.65
1984 12 10    3.21
1984 12 11    2.44
1984 12 12    3.71
1984 12 13    1.19
1984 12 14    2.93
1984 12 15    3.50
1984 12 16    3.57
1984 12 17    2.64
1984 12 18    3.19
1984 12 19    1.81
1984 12 20    2.49
1984 12 21    2.14
1984 12 22    3.26
1984 12 23    1.83
1984 12 24    1.01
1984 12 25    1.27
1984 12 26    1.12
1984 12 27    1.39
1984 12 28    1.43
1984 12 29    1.93
1984 12 30    3.59
1984 12 31    3.67
1985 01 01    2.74
1985 01 02    1.11
1985 01 03    2.28
1985 01 04    2.68
1985 01 05    1.94
1985 01 06    2.12
1985 01 07    2.41
1985 01 08    1.93
1985 01 09    3.54
1985 01 10    2.66
1985 01 11    2.86
1985 01 12    1.79
1985 01 13    2.27
1985 01 14    3.41
1985 01 15    1.33
1985 01 16    2.10
1985 01 17    2.42
1985 01 18    3.84
1985 01 19    3.62
1985 01 20    3.83
1985 01 21    3.73
1985 01 22    2.67
1985 01 23    1.74
1985 01 24    4.06
1985 01 25    4.25
1985 01 26    3.87
1985 01 27    4.14
1985 01 28    3.78
1985 01 29    2.08
1985 01 30    3.37
1985 01 31    4.00
1985 02 01    0.49
1985 02 02    4.24
1985 02 03    2.63
1985 02 04    4.52
1985 02 05    4.61
1985 02 06    3.94
1985 02 07    4.21
1985 02 08    4.46
1985 02 09    2.95
1985 02 10    4.10
1985 02 11    4.47
1985 02 12    4.75
1985 02 13    4.90
1985 02 14    4.86
1985 02 15    4.75
1985 02 16    2.14
1985 02 17    4.19
1985 02 18    2.93
1985 02 19    4.36
1985 02 20    3.59
1985 02 21    2.65
1985 02 22    5.24
1985 02 23    5.79
1985 02 24    5.08
1985 02 25    3.06
1985 02 26    2.58
1985 02 27    4.61
1985 02 28    5.63
1985 03 01    5.10
1985 03 02    5.68
1985 03 03    3.28
1985 03 04    2.64
1985 03 05    4.71
1985 03 06    5.42
1985 03 07    2.25
1985 03 08    3.11
1985 03 09    5.49
1985 03 10    4.15
1985 03 11    5.18
1985 03 12    6.02
1985 03 13    4.15
1985 03 14    3.42
1985 03 15    6.27
1985 03 16    6.38
1985 03 17    2.57
1985 03 18    2.79
1985 03 19    1.86
1985 03 20    5.69
1985 03 21    6.37
1985 03 22    6.26
1985 03 23    6.13
1985 03 24    5.19
1985 03 25    6.03
1985 03 26    4.21
1985 03 27    2.91
1985 03 28    5.59
1985 03 29    4.08
1985 03 30    4.90
1985 03 31    5.72
1985 04 01    6.04
1985 04 02    3.43
1985 04 03    6.12
1985 04 04    6.95
1985 04 05    4.97
1985 04 06    2.90
1985 04 07    6.23
1985 04 08    7.41
1985 04 09    5.62
1985 04 10    6.89
1985 04 11    6.69
1985 04 12    7.22
1985 04 13    7.82
1985 04 14    6.70
1985 04 15    5.03
1985 04 16    5.78
1985 04 17    6.25
1985 04 18    6.36
1985 04 19    7.70
1985 04 20    6.51
1985 04 21    4.88
1985 04 22    6.58
1985 04 23    4.99
1985 04 24    4.90
1985 04 25    8.16
1985 04 26    8.07
1985 04 27    4.27
1985 04 28    6.25
1985 04 29    5.82
1985 04 30    8.25
1985 05 01    4.74
1985 05 02    3.71
1985 05 03    3.96
1985 05 04    8.42
1985 05 05    8.59
1985 05 06    7.14
1985 05 07    7.07
1985 05 08    8.19
1985 05 09    5.86
1985 05 10    7.17
1985 05 11    7.15
1985 05 12    6.54
1985 05 13    7.36
1985 05 14    8.62
1985 05 15    6.33
1985 05 16    6.45
1985 05 17    5.71
1985 05 18    6.74
1985 05 19    7.47
1985 05 20    7.67
1985 05 21    7.34
1985 05 22    6.98
1985 05 23    8.74
1985 05 24    8.19
1985 05 25    8.64
1985 05 26    7.15
1985 05 27    8.40
1985 05 28    8.95
1985 05 29    8.79
1985 05 30    9.03
1985 05 31    9.05
1985 06 01    8.75
1985 06 02    8.88
1985 06 03    8.92
1985 06 04    8.66
1985 06 05    8.66
1985 06 06    6.91
1985 06 07    7.62
1985 06 08    7.07
1985 06 09    8.15
1985 06 10    8.16
1985 06 11    4.50
1985 06 12    7.47
1985 06 13    8.27
1985 06 14    8.26
1985 06 15    8.46
1985 06 16    5.58
1985 06 17    6.72
1985 06 18    7.96
1985 06 19    7.95
1985 06 20    7.88
1985 06 21    7.59
1985 06 22    7.85
1985 06 23    7.06
1985 06 24    7.22
1985 06 25    7.04
1985 06 26    7.02
1985 06 27    6.83
1985 06 28    7.24
1985 06 29    7.13
1985 06 30    7.56
1985 07 01    7.35
1985 07 02    6.85
1985 07 03    6.99
1985 07 04    7.18
1985 07 05    7.23
1985 07 06    6.63
1985 07 07    7.30
1985 07 08    7.13
1985 07 09    7.22
1985 07 10    7.50
1985 07 11    6.97
1985 07 12    7.40
1985 07 13    6.79
1985 07 14    6.73
1985 07 15    7.04
1985 07 16    6.71
1985 07 17    6.64
1985 07 18    6.74
1985 07 19    6.43
1985 07 20    6.66
1985 07 21    6.67
1985 07 22    6.65
