NASA Surface meteorology and Solar Energy: Daily Averaged Data
Dates (month/day/year): 07/01/1983 through 06/30/2005
Location: Latitude 36.076   Longitude 49.627 Ghazvin, Takestan
Elevation (meters): Average for one degree lat/lon region = 1316   Site = na
Climate zone: 4 (reference Briggs et al, http://www.energycodes.gov)
Parameter(s):
swv_dwn     Average Insolation Incident On A Horizontal Surface (kWh/m^2/day) 

YEAR MO DY swv_dwn
1985 06 23    7.96
1985 06 24    6.48
1985 06 25    7.25
1985 06 26    7.29
1985 06 27    6.31
1985 06 28    5.65
1985 06 29    7.57
1985 06 30    7.98
1985 07 01    5.44
1985 07 02    6.95
1985 07 03    5.92
1985 07 04    6.34
1985 07 05    7.27
1985 07 06    6.55
1985 07 07    7.08
1985 07 08    6.84
1985 07 09    6.94
1985 07 10    6.95
1985 07 11    7.09
1985 07 12    7.03
1985 07 13    6.67
1985 07 14    5.62
1985 07 15    6.40
1985 07 16    6.70
1985 07 17    5.79
1985 07 18    6.99
1985 07 19    5.95
1985 07 20    6.50
1985 07 21    6.61
1985 07 22    6.54
1985 07 23    7.11
1985 07 24    7.41
1985 07 25    5.98
1985 07 26    6.00
1985 07 27    6.53
1985 07 28    5.82
1985 07 29    5.94
1985 07 30    6.26
1985 07 31    5.56
1985 08 01    6.18
1985 08 02    6.47
1985 08 03    6.28
1985 08 04    7.36
1985 08 05    6.74
1985 08 06    7.94
1985 08 07    5.83
1985 08 08    6.08
1985 08 09    7.01
1985 08 10    6.84
1985 08 11    7.31
1985 08 12    7.59
1985 08 13    7.13
1985 08 14    7.30
1985 08 15    7.24
1985 08 16    5.90
1985 08 17    5.85
1985 08 18    5.42
1985 08 19    6.74
1985 08 20    7.09
1985 08 21    5.74
1985 08 22    6.13
1985 08 23    5.17
1985 08 24    4.60
1985 08 25    4.26
1985 08 26    4.71
1985 08 27    4.83
1985 08 28    6.00
1985 08 29    6.51
1985 08 30    5.99
1985 08 31    6.12
1985 09 01    6.79
1985 09 02    5.98
1985 09 03    6.63
1985 09 04    6.82
1985 09 05    6.24
1985 09 06    6.71
1985 09 07    5.08
1985 09 08    6.11
1985 09 09    6.34
1985 09 10    5.19
1985 09 11    5.28
1985 09 12    5.48
1985 09 13    5.15
1985 09 14    5.83
1985 09 15    4.38
1985 09 16    4.24
1985 09 17    4.52
1985 09 18    4.38
1985 09 19    4.29
1985 09 20    4.15
1985 09 21    4.58
1985 09 22    5.15
1985 09 23    5.05
1985 09 24    4.67
1985 09 25    4.88
1985 09 26    4.12
1985 09 27    4.39
1985 09 28    4.40
1985 09 29    4.24
1985 09 30    4.24
1985 10 01    4.12
1985 10 02    3.50
1985 10 03    3.66
1985 10 04    3.55
1985 10 05    4.37
1985 10 06    3.82
1985 10 07    5.00
1985 10 08    4.87
1985 10 09    4.45
1985 10 10    2.99
1985 10 11    2.27
1985 10 12    2.74
1985 10 13    3.91
1985 10 14    4.37
1985 10 15    4.60
1985 10 16    4.53
1985 10 17    4.49
1985 10 18    4.59
1985 10 19    3.72
1985 10 20    2.85
1985 10 21    3.07
1985 10 22    2.46
1985 10 23    4.14
1985 10 24    3.46
1985 10 25    3.08
1985 10 26    3.08
1985 10 27    2.59
1985 10 28    3.12
1985 10 29    3.74
1985 10 30    3.35
1985 10 31    2.91
1985 11 01    3.26
1985 11 02    3.29
1985 11 03    3.89
1985 11 04    3.39
1985 11 05    1.17
1985 11 06    2.09
1985 11 07    2.76
1985 11 08    3.67
1985 11 09    3.71
1985 11 10    1.23
1985 11 11    1.26
1985 11 12    1.52
1985 11 13    1.25
1985 11 14    3.18
1985 11 15    3.75
1985 11 16    3.70
1985 11 17    2.30
1985 11 18    2.45
1985 11 19    1.94
1985 11 20    1.39
1985 11 21    2.87
1985 11 22    2.43
1985 11 23    2.06
1985 11 24    1.42
1985 11 25    2.39
1985 11 26    1.04
1985 11 27    2.41
1985 11 28    3.34
1985 11 29    3.29
1985 11 30    3.01
1985 12 01    0.92
1985 12 02    1.99
1985 12 03    1.94
1985 12 04    1.39
1985 12 05    3.00
1985 12 06    2.35
1985 12 07    3.18
1985 12 08    3.05
1985 12 09    3.31
1985 12 10    3.04
1985 12 11    1.74
1985 12 12    2.46
1985 12 13    1.39
1985 12 14    1.65
1985 12 15    2.28
1985 12 16    1.62
1985 12 17    2.73
1985 12 18    1.21
1985 12 19    1.88
1985 12 20    1.25
1985 12 21    2.58
1985 12 22    2.37
1985 12 23    1.77
1985 12 24    1.98
1985 12 25    2.69
1985 12 26    2.55
1985 12 27    1.73
1985 12 28    2.87
1985 12 29    1.08
1985 12 30    2.51
1985 12 31    2.90
1986 01 01    2.84
1986 01 02    2.80
1986 01 03    1.63
1986 01 04    2.32
1986 01 05    3.03
1986 01 06    2.96
1986 01 07    2.20
1986 01 08    2.62
1986 01 09    2.39
1986 01 10    2.81
1986 01 11    2.74
1986 01 12    1.88
1986 01 13    2.63
1986 01 14    3.02
1986 01 15    2.35
1986 01 16    3.58
1986 01 17    3.49
1986 01 18    3.32
1986 01 19    1.83
1986 01 20    1.34
1986 01 21    2.81
1986 01 22    2.29
1986 01 23    2.32
1986 01 24    3.36
1986 01 25    3.36
1986 01 26    3.48
1986 01 27    3.59
1986 01 28    3.19
1986 01 29    3.80
1986 01 30    2.29
1986 01 31    1.55
1986 02 01    2.73
1986 02 02    3.86
1986 02 03    3.89
1986 02 04    1.57
1986 02 05    2.22
1986 02 06    1.89
1986 02 07    3.20
1986 02 08    4.11
1986 02 09    2.68
1986 02 10    1.35
1986 02 11    3.06
1986 02 12    2.39
1986 02 13    3.01
1986 02 14    3.29
1986 02 15    1.96
1986 02 16    2.30
1986 02 17    3.01
1986 02 18    2.63
1986 02 19    4.47
1986 02 20    4.41
1986 02 21    4.32
1986 02 22    4.09
1986 02 23    4.25
1986 02 24    3.96
1986 02 25    1.86
1986 02 26    4.48
1986 02 27    4.98
1986 02 28    3.65
1986 03 01    2.73
1986 03 02    2.49
1986 03 03    4.47
1986 03 04    5.09
1986 03 05    3.84
1986 03 06    3.88
1986 03 07    2.88
1986 03 08    2.10
1986 03 09    4.27
1986 03 10    3.97
1986 03 11    3.29
1986 03 12    5.38
1986 03 13    3.58
1986 03 14    3.06
1986 03 15    1.79
1986 03 16    2.59
1986 03 17    4.64
1986 03 18    3.52
1986 03 19    3.47
1986 03 20    2.01
1986 03 21    2.59
